category;question_ar;answer_ar;question_fr;answer_fr;keywords;
Présentation;ما هو معهد SupNum؟;معهد SupNum هو المعهد العالي للرقمنة، مؤسسة عمومية تابعة لوزارة التعليم العالي، أُنشئت لتكوين أطر متوسطة وعليا في مجالات الرقمنة.;Qu’est-ce que l’Institut SupNum ?;SupNum est un établissement public relevant du Ministère de l’Enseignement Supérieur; créé pour former des cadres moyens et supérieurs dans les métiers du numérique.;"SupNum;institut;numérique"
Localisation;أين يقع معهد SupNum؟;يقع معهد SupNum في تفرغ زينة بنواكشوط.;Où se situe l’Institut SupNum ?;L’Institut SupNum est situé à Tevragh-Zeina à Nouakchott.;"localisation;Nouakchott";
Filières;ما هي التخصصات المتوفرة في SupNum؟;التخصصات المتوفرة هي تطوير نظم المعلومات DSI والشبكات والأنظمة والأمن RSS وتطوير الويب والوسائط المتعددة DWM.;Quelles sont les filières disponibles à SupNum ?;Les filières disponibles sont DSI RSS et DWM.;"filières;DSI;RSS;DWM";
Durée des études;ما هي مدة الدراسة؟;مدة الدراسة ستة فصول دراسية تشمل التكوين والتدريب.;Quelle est la durée des études ?;La durée des études est de six semestres incluant formation et stages.;"durée;semestres";
Inscription;هل التسجيل مفتوح حالياً؟;عادةً تبدأ التسجيلات في شهر أكتوبر حسب رزنامة الوزارة.;Les inscriptions sont-elles ouvertes actuellement ?;Les inscriptions commencent généralement au mois d’octobre.;"inscription;octobre";
Admission;ما هي شروط القبول؟;يجب أن يكون المترشح من شعبة C أو D في البكالوريا.;Quelles sont les conditions d’admission ?;Le candidat doit être issu des séries C ou D du baccalauréat.;"admission;bac";
Documents;ما هي الوثائق المطلوبة للتسجيل؟;كشف درجات البكالوريا وصورتان ونسخة من بطاقة التعريف.;Quels sont les documents nécessaires pour l’inscription ?;Relevé du bac photos d’identité et copie de la CNI.;"documents;inscription";
Procédure;كيف يتم التسجيل؟;يتم التسجيل عبر المنصة الوطنية للتوجيه.;Comment se fait l’inscription ?;L’inscription se fait via la plateforme nationale d’orientation.;"plateforme;inscription";
Frais;هل توجد رسوم دراسة؟;الدراسة في SupNum مجانية بالكامل.;Y a-t-il des frais de scolarité ?;La formation à SupNum est totalement gratuite.;"gratuité;frais";
Langue;بأي لغة تُدرَّس الدروس؟;الدروس تُقدَّم أساسًا باللغة الفرنسية.;Dans quelle langue sont dispensés les cours ?;Les cours sont principalement dispensés en français.;"langue;français";
Examens;هل توجد امتحانات؟;نعم توجد امتحانات في نهاية كل فصل.;Y a-t-il des examens ?;Oui des examens sont organisés à chaque semestre.;"examens;semestre";
Projets;هل يوجد مشروع نهاية التكوين؟;نعم المشروع إلزامي للحصول على الشهادة.;Y a-t-il un projet de fin de formation ?;Oui le projet est obligatoire pour l’obtention du diplôme.;"projet;diplôme";
